MathMod ; 18
MathPow ; 41
MathRand ; 18
MathRound ; 41
MathSin ; 0
MathSqrt ; 13
MathSrand ; 13
MathTan ; 0
MessageBox ; 11
Minute ; 117
Month ; 68
MQLInfoInteger ; 0
MQLInfoString ; 0
MQLSetInteger ; 0
NormalizeDouble ; 336
ObjectCreate ; 108
ObjectDelete ; 79
ObjectDescription ; 5
ObjectFind ; 46
ObjectGet ; 32
ObjectGetDouble ; 2
ObjectGetFiboDescription ; 0
ObjectGetInteger ; 2
ObjectGetShiftByValue ; 1
ObjectGetString ; 1
ObjectGetTimeByValue ; 0
ObjectGetValueByShift ; 6
ObjectGetValueByTime ; 1
ObjectMove ; 14
ObjectName ; 17
ObjectsDeleteAll ; 17
ObjectSet ; 108
ObjectSetDouble ; 1
ObjectSetFiboDescription ; 0
ObjectSetInteger ; 4
ObjectSetString ; 4
ObjectSetText ; 75
ObjectsTotal ; 17
ObjectType ; 7
OrderClose ; 451
OrderCloseBy ; 3
OrderClosePrice ; 56
OrderCloseTime ; 64
OrderComment ; 34
OrderCommission ; 26
OrderDelete ; 106
OrderExpiration ; 22
OrderLots ; 419
OrderMagicNumber ; 336
OrderModify ; 370
OrderOpenPrice ; 421
OrderOpenTime ; 95
OrderPrint ; 18
OrderProfit ; 199
OrderSelect ; 590
OrderSend ; 551
OrdersHistoryTotal ; 73
OrderStopLoss ; 347
OrdersTotal ; 595
OrderSwap ; 40
OrderSymbol ; 477
OrderTakeProfit ; 326
OrderTicket ; 544
OrderType ; 548
Period ; 269
Period ; 269
PeriodSeconds ; 0
PlaySound ; 87
Point ; 533
pow ; 6
Print ; 412
PrintFormat ; 0
rand ; 20
RefreshRates ; 198
ResetLastError ; 12
ResourceCreate ; 0
ResourceFree ; 0
ResourceReadImage ; 0
ResourceSave ; 0
round ; 21
Seconds ; 51
SendFTP ; 0
SendMail ; 51
SendNotification ; 3
SeriesInfoInteger ; 0
SetIndexArrow ; 12
SetIndexBuffer ; 45
SetIndexDrawBegin ; 20
SetIndexEmptyValue ; 10
SetIndexLabel ; 17
SetIndexShift ; 3
SetIndexStyle ; 43
SetLevelStyle ; 1
SetLevelValue ; 1
ShortArrayToString ; 2
ShortToString ; 0
SignalBaseGetDouble ; 0
SignalBaseGetInteger ; 0
SignalBaseGetString ; 0
SignalBaseSelect ; 0
SignalBaseTotal ; 0
SignalInfoGetDouble ; 0
SignalInfoGetInteger ; 0
SignalInfoGetString ; 0
SignalInfoSetDouble ; 0
